transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_value,order_size,transaction_year,transaction_month,high_value_transaction
T0001,2024-02-08,C2205,headphones,5.0,420.21,pay pal,unknown,2101.0499999999997,regular,2024.0,2.0,True
T0002,2020-10-02,C3156,coffee,469.0,445.3420253,creditcard,pending,208865.4098657,bulk,2020.0,10.0,True
T0017,2020-07-07,C3776,smartphone,236.0,94.55726527,credit card,pending,22315.51460372,bulk,2020.0,7.0,True
T0024,2023-03-11,C828,coffee machine,487.0,525.3792688,cash,unknown,255859.70390559998,bulk,2023.0,3.0,True
T0026,2020-01-01,C1096,cof,654.0,525.3792688,paypal,complete,343598.04179519997,bulk,2020.0,1.0,True
T0032,2023-05-10,unknown,laptop,7.0,525.3792688,credit card,completed,3677.6548816,regular,2023.0,5.0,True
T0042,2021-04-08,C4796,coffee machine,8.0,525.3792688,credit card,failed,4203.0341504,regular,2021.0,4.0,True
T0069,2021-03-03,C1757,headphones,5.0,750.9838518,credit card,complete,3754.9192590000002,regular,2021.0,3.0,True
T0073,2021-10-04,C1319,headp,9.0,525.3792688,cash,pending,4728.4134192,regular,2021.0,10.0,True
T0087,2020-10-08,C703,laptop,6.0,600.2502426,cash,completed,3601.5014555999996,regular,2020.0,10.0,True
T0103,2022-04-12,C327,tablet,10.0,963.4581063,paypal,complete,9634.581063000001,regular,2022.0,4.0,True
T0112,2024-06-09,C4249,laptop,723.0,90.34728588,creditcard,failed,65321.08769124,bulk,2024.0,6.0,True
T0113,2020-08-04,C2894,headphones,8.0,86.41580941,paypal,complete,691.32647528,regular,2020.0,8.0,False
T0133,2021-12-07,C2977,laptop,137.0,97.98868055,credit card,failed,13424.449235349999,bulk,2021.0,12.0,True
T0136,2024-04-05,C544,tablet,788.0,525.3792688,pay pal,completed,413998.8638144,bulk,2024.0,4.0,True
T0137,2022-04-08,C4112,headphones,322.0,557.4354117,paypal,complete,179494.2025674,bulk,2022.0,4.0,True
T0144,2020-03-02,C4891,coffee machine,8.0,375.9728545,paypal,complete,3007.782836,regular,2020.0,3.0,True
T0157,2021-01-02,C2917,coffee machine,304.0,863.77,creditcard,pending,262586.08,bulk,2021.0,1.0,True
T0163,2021-11-08,C666,smartphone,8.0,455.46,creditcard,unknown,3643.68,regular,2021.0,11.0,True
T0167,2021-05-08,C2395,coffee machine,547.0,884.3602156,credit card,pending,483745.03793319996,bulk,2021.0,5.0,True
T0177,2025-04-01,C3662,tablet,4.0,460.8278566,paypal,completed,1843.3114264,regular,2025.0,4.0,False
T0181,2022-04-05,C887,smartphone,359.0,365.48,credit card,failed,131207.32,bulk,2022.0,4.0,True
T0187,2024-12-04,C2965,smartphone,1.0,525.3792688,cash,unknown,525.3792688,regular,2024.0,12.0,False
T0188,2023-12-08,C1159,laptop,2.0,567.5614912,credit card,pending,1135.1229824,regular,2023.0,12.0,False
T0197,2021-08-03,C4862,laptop,821.0,525.3792688,credit card,pending,431336.3796848,bulk,2021.0,8.0,True
T0199,2023-11-03,C3558,coffee machine,5.0,525.3792688,credit card,pending,2626.8963439999998,regular,2023.0,11.0,True
T0204,2021-08-02,C4690,headphones,258.0,854.4182003,credit card,unknown,220439.8956774,bulk,2021.0,8.0,True
T0210,2022-08-03,C3762,coffee machine,6.0,148.6301947,creditcard,completed,891.7811682,regular,2022.0,8.0,False
T0220,2023-11-10,C3610,smartphone,10.0,525.3792688,pay pal,unknown,5253.7926879999995,regular,2023.0,11.0,True
T0221,2020-08-03,C1613,coffee machine,3.0,58.03358928,creditcard,failed,174.10076784,regular,2020.0,8.0,False
T0228,2022-03-04,C1613,tablet,7.0,525.3792688,paypal,completed,3677.6548816,regular,2022.0,3.0,True
T0230,2023-07-06,C1387,hea,8.0,933.2568077,pay pal,completed,7466.0544616,regular,2023.0,7.0,True
T0241,2022-09-12,C2398,coffee machine,5.0,643.7099744,paypal,failed,3218.5498719999996,regular,2022.0,9.0,True
T0242,2023-01-12,C2286,coffee machine,8.0,525.3792688,paypal,completed,4203.0341504,regular,2023.0,1.0,True
T0248,2024-10-07,C2496,head,431.0,242.13,paypal,failed,104358.03,bulk,2024.0,10.0,True
T0252,2022-01-03,C4052,lapt,2.0,162.845336,credit card,completed,325.690672,regular,2022.0,1.0,False
T0255,2021-12-01,C4435,lapto,9.0,878.3307369,creditcard,failed,7904.976632100001,regular,2021.0,12.0,True
T0268,2023-01-12,C2381,laptop,7.0,617.8889336,paypal,failed,4325.2225352,regular,2023.0,1.0,True
T0269,2024-11-08,C3990,coffee machine,8.0,810.4362003,credit card,completed,6483.4896024,regular,2024.0,11.0,True
T0274,2023-08-02,C2934,coffee machine,8.0,58.90413474,paypal,failed,471.23307792,regular,2023.0,8.0,False
T0284,2022-04-10,C1301,laptop,222.0,698.6577229,cash,pending,155102.01448379998,bulk,2022.0,4.0,True
T0292,2024-09-08,unknown,laptop,980.0,233.9022509,cash,pending,229224.205882,bulk,2024.0,9.0,True
T0304,2022-12-04,C1803,laptop,5.0,140.6198774,paypal,complete,703.099387,regular,2022.0,12.0,False
T0311,2022-08-06,C3494,coffee machine,936.0,525.3792688,creditcard,failed,491754.9955968,bulk,2022.0,8.0,True
T0323,2024-02-11,C2361,headphones,2.0,525.3792688,credit card,pending,1050.7585376,regular,2024.0,2.0,False
T0328,2024-09-10,C1878,headphones,989.0,448.0931012,cash,complete,443164.07708679995,bulk,2024.0,9.0,True
T0337,2023-02-03,C4233,tablet,118.0,959.1751724,cash,completed,113182.67034319999,bulk,2023.0,2.0,True
T0338,2023-10-04,C4411,coffee machine,10.0,990.5678038,cash,pending,9905.678038,regular,2023.0,10.0,True
T0339,2021-03-08,C3229,coffee machine,1.0,369.1381894,cash,completed,369.1381894,regular,2021.0,3.0,False
T0351,2021-03-09,C3070,smartphone,3.0,525.3792688,creditcard,unknown,1576.1378064,regular,2021.0,3.0,False
T0373,2020-07-02,C1963,coffee machine,7.0,505.84,credit card,pending,3540.8799999999997,regular,2020.0,7.0,True
T0385,2020-06-02,C1925,headphones,171.0,355.3137508,paypal,unknown,60758.6513868,bulk,2020.0,6.0,True
T0391,2021-09-07,C343,laptop,9.0,525.3792688,cash,unknown,4728.4134192,regular,2021.0,9.0,True
T0403,2021-08-12,C3011,headphones,6.0,525.3792688,cash,pending,3152.2756128,regular,2021.0,8.0,True
T0408,2022-08-03,C2342,smar,199.0,525.3792688,credit card,completed,104550.4744912,bulk,2022.0,8.0,True
T0431,2024-10-01,C1515,tablet,701.0,877.255448,credit card,pending,614956.069048,bulk,2024.0,10.0,True
T0448,2024-12-01,C4227,headphone,1.0,828.7889067,credit card,unknown,828.7889067,regular,2024.0,12.0,False
T0458,2020-02-06,C1744,laptop,8.0,525.3792688,cash,complete,4203.0341504,regular,2020.0,2.0,True
T0464,2021-07-06,C1343,headphones,3.0,644.4471848,creditcard,unknown,1933.3415544,regular,2021.0,7.0,False
T0468,2022-02-04,C2171,coffee machine,4.0,632.6464123,paypal,completed,2530.5856492,regular,2022.0,2.0,True
T0486,2021-01-01,C1245,laptop,3.0,954.2825883,cash,completed,2862.8477649,regular,2021.0,1.0,True
T0489,2021-02-04,C1507,smar,567.0,534.7524182,paypal,complete,303204.62111939996,bulk,2021.0,2.0,True
T0519,2023-11-06,unknown,laptop,3.0,571.8031009,paypal,unknown,1715.4093027,regular,2023.0,11.0,False
T0521,2020-09-01,C745,coffee machine,10.0,145.8264236,pay pal,unknown,1458.264236,regular,2020.0,9.0,False
T0523,2022-08-09,C063,coffee machine,4.0,298.1641649,cash,pending,1192.6566596,regular,2022.0,8.0,False
T0524,2021-09-04,C2023,headphones,849.0,500.0003605,paypal,completed,424500.3060645,bulk,2021.0,9.0,True
T0525,2024-09-09,C2309,smartphone,6.0,104.3561571,paypal,failed,626.1369426,regular,2024.0,9.0,False
T0526,2024-11-12,C3889,coffee machine,3.0,901.3926594,paypal,failed,2704.1779782,regular,2024.0,11.0,True
T0527,2020-11-06,C4693,headphones,7.0,111.3713005,cash,failed,779.5991035000001,regular,2020.0,11.0,False
T0542,2022-09-11,C2130,laptop,6.0,500.0137782,credit card,failed,3000.0826692,regular,2022.0,9.0,True
T0579,2020-11-10,C4392,coffee machine,7.0,525.3792688,cash,completed,3677.6548816,regular,2020.0,11.0,True
T0588,2020-03-11,C584,tablet,3.0,980.8473935,credit card,completed,2942.5421804999996,regular,2020.0,3.0,True
T0605,2020-02-12,C4548,tablet,1.0,525.3792688,cash,failed,525.3792688,regular,2020.0,2.0,False
T0621,2022-11-11,C3537,headphones,313.0,221.0992079,cash,unknown,69204.0520727,bulk,2022.0,11.0,True
T0628,2021-08-11,C3224,tablet,4.0,967.3999134,credit card,complete,3869.5996536,regular,2021.0,8.0,True
T0643,2021-09-04,C4347,laptop,4.0,841.2991021,cash,failed,3365.1964084,regular,2021.0,9.0,True
T37318,2021-07-05,C2292,laptop,6.0,240.6350067,cash,completed,1443.8100402,regular,2021.0,7.0,False
T0664,2021-12-07,C124,smartphone,4.0,67.85859307,cash,unknown,271.43437228,regular,2021.0,12.0,False
T0670,2020-10-03,C2551,laptop,5.0,889.4273239,credit card,unknown,4447.1366195,regular,2020.0,10.0,True
T0679,2022-07-06,C1139,laptop,465.0,658.4590634,paypal,completed,306183.464481,bulk,2022.0,7.0,True
T0691,2021-08-10,C1483,headphones,5.0,900.7538506,cash,completed,4503.7692529999995,regular,2021.0,8.0,True
T0695,2023-10-03,C028,headphones,6.0,316.183759,pay pal,pending,1897.102554,regular,2023.0,10.0,False
T0701,2022-04-12,C1296,headphones,5.0,200.8413516,paypal,complete,1004.206758,regular,2022.0,4.0,False
T0708,2023-10-10,C919,tablet,163.0,119.5515388,cash,completed,19486.9008244,bulk,2023.0,10.0,True
T0727,2024-12-07,C396,headph,1.0,525.3792688,credit card,unknown,525.3792688,regular,2024.0,12.0,False
